state,padd_region
Connecticut,PADD 1
Maine,PADD 1
Massachusetts,PADD 1
New Hampshire,PADD 1
Rhode Island,PADD 1
Vermont,PADD 1
Delaware,PADD 1
District of Columbia,PADD 1
Maryland,PADD 1
New Jersey,PADD 1
New York,PADD 1
Pennsylvania,PADD 1
Florida,PADD 1
Georgia,PADD 1
North Carolina,PADD 1
South Carolina,PADD 1
Virginia,PADD 1
West Virginia,PADD 1
Illinois,PADD 2
Indiana,PADD 2
Iowa,PADD 2
Kansas,PADD 2
Kentucky,PADD 2
Michigan,PADD 2
Minnesota,PADD 2
Missouri,PADD 2
Nebraska,PADD 2
North Dakota,PADD 2
Ohio,PADD 2
Oklahoma,PADD 2
South Dakota,PADD 2
Tennessee,PADD 2
Wisconsin,PADD 2
Alabama,PADD 3
Arkansas,PADD 3
Louisiana,PADD 3
Mississippi,PADD 3
New Mexico,PADD 3
Texas,PADD 3
Colorado,PADD 4
Idaho,PADD 4
Montana,PADD 4
Utah,PADD 4
Wyoming,PADD 4
Alaska,PADD 5
Arizona,PADD 5
California,PADD 5
Hawaii,PADD 5
Nevada,PADD 5
Oregon,PADD 5
Washington,PADD 5
