fips_proxy,ghg,kg_km
6023,ch4,1.57391E-05
6023,co2,1.067402368
6023,n2o,2.73176E-06
8051,ch4,1.5736E-05
8051,co2,1.067169757
8051,n2o,2.73137E-06
23003,ch4,1.57391E-05
23003,co2,1.067402371
23003,n2o,2.73176E-06
38061,ch4,1.57391E-05
38061,co2,1.067402363
38061,n2o,2.73176E-06
45025,ch4,1.57391E-05
45025,co2,1.067402331
45025,n2o,2.73176E-06
48373,ch4,1.57391E-05
48373,co2,1.067402372
48373,n2o,2.73176E-06
53037,ch4,1.57391E-05
53037,co2,1.067402377
53037,n2o,2.73176E-06
54025,ch4,1.56014E-05
54025,co2,1.050057088
54025,n2o,2.70863E-06
55041,ch4,1.57391E-05
55041,co2,1.067402374
55041,n2o,2.73176E-06
